Brand Name;2023 Final scores - SECTION 3;2023 FINAL PERCENTAGES -  SECTION 3;2022 Final scores - SECTION 3;2022 FINAL PERCENTAGES -  SECTION 3;% change in score 2022-2023;2021 Final scores - SECTION 3;2021 FINAL PERCENTAGES -  SECTION 3;% change in score 2021-2022;2020 Final scores - SECTION 3;2020 FINAL PERCENTAGES -  SECTION 3;% change in score 2020-2021;2019 Final scores - SECTION 3;2019 FINAL PERCENTAGES -  SECTION 3;% change in score 2019-2022;2018 Final scores - SECTION 3;2018 FINAL PERCENTAGES -  SECTION 3;% change in score 2018-2022;2017 Final scores  - SECTION 3;2017 FINAL PERCENTAGES - SECTION 3;% change in score 2017-2022;Percentage of brands in the Index, which have been targeted by the Transparency Pledge;;;;;;;;;;;;;;;;
Abercrombie & Fitch;38;51,35%;6;8,22%;43,13%;7;9,46%;41,89%;5;6,33%;45%;4;4,71%;46,65%;5;5,88%;45,47%;1;1,18%;50,17%;;;;;;;;;;;;;;;;;
Adidas;42;56,76%;40;54,79%;1,96%;43;58,11%;-1,35%;49;62,03%;-5%;43;50,59%;6,17%;39;45,88%;10,87%;29;34,12%;22,64%;;;;;;;;;;;;;;;;;
Aeropostale;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;;;;;;;;;;;;;;;;;
AJIO;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
ALDI Nord;17;22,97%;18;24,66%;-1,68%;12;16,22%;6,76%;9;11,39%;12%;9;10,59%;12,38%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
ALDI SOUTH;16;21,62%;13;17,81%;3,81%;18;24,32%;-2,70%;20;25,32%;-4%;17;20,00%;1,62%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
ALDO;1;1,35%;2;2,74%;-1,39%;1;1,35%;0,00%;1;1,27%;0%;1;1,18%;0,17%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Amazon;14;18,92%;15;20,55%;-1,63%;16;21,62%;-2,70%;15;18,99%;0%;0;0,00%;18,92%;0;0,00%;18,92%;0;0,00%;18,92%;;;;;;;;;;;;;;;;;
American Eagle;1;1,35%;1;1,37%;-0,02%;1;1,35%;0,00%;1;1,27%;0%;0;0,00%;1,35%;0;0,00%;1,35%;0;0,00%;1,35%;;;;;;;;;;;;;;;;;
ANTA;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;0;0,00%;0,00%;;;#VALUE!;;;;;;;;;;;;;;;;;
Anthropologie;0;0,00%;1;1,37%;-1,37%;0;0,00%;0,00%;26;32,91%;-33%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;;;;;;;;;;;;;;;;;
Aritzia;1;1,35%;1;1,37%;-0,02%;1;1,35%;0,00%;1;1,27%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Armani;32;43,24%;0;0,00%;43,24%;0;0,00%;43,24%;0;0,00%;43%;0;0,00%;43,24%;0;0,00%;43,24%;1;1,18%;42,07%;;;;;;;;;;;;;;;;;
Asda;33;44,59%;35;47,95%;-3,35%;26;35,14%;9,46%;11;13,92%;31%;11;12,94%;31,65%;11;12,94%;31,65%;11;12,94%;31,65%;;;;;;;;;;;;;;;;;
ASICS;37;50,00%;38;52,05%;-2,05%;40;54,05%;-4,05%;38;48,10%;2%;19;22,35%;27,65%;19;22,35%;27,65%;0;0,00%;50,00%;;;;;;;;;;;;;;;;;
ASOS;37;50,00%;40;54,79%;-4,79%;46;62,16%;-12,16%;52;65,82%;-16%;51;60,00%;-10,00%;54;63,53%;-13,53%;22;25,88%;24,12%;;;;;;;;;;;;;;;;;
Balenciaga;7;9,46%;8;10,96%;-1,50%;8;10,81%;-1,35%;10;12,66%;-3%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Bally;37;50,00%;26;35,62%;14,38%;0;0,00%;50,00%;0;0,00%;50%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Banana Republic;27;36,49%;26;35,62%;0,87%;33;44,59%;-8,11%;36;45,57%;-9%;38;44,71%;-8,22%;41;48,24%;-11,75%;37;43,53%;-7,04%;;;;;;;;;;;;;;;;;
BCBGMAXAZRIA;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Beanpole;1;1,35%;1;1,37%;-0,02%;1;1,35%;0,00%;0;0,00%;1%;0;0,00%;1,35%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Belle;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Bershka;8;10,81%;1;1,37%;9,44%;1;1,35%;9,46%;15;18,99%;-8%;16;18,82%;-8,01%;11;12,94%;-2,13%;10;11,76%;-0,95%;;;;;;;;;;;;;;;;;
Big Bazaar - ffb;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Big W;34;45,95%;36;49,32%;-3,37%;15;20,27%;25,68%;11;13,92%;32%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Billabong;1;1,35%;0;0,00%;1,35%;0;0,00%;1,35%;0;0,00%;1%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Bloomingdale's;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;1;1,27%;-1%;0;0,00%;0,00%;0;0,00%;0,00%;;;#VALUE!;;;;;;;;;;;;;;;;;
Bonprix;33;44,59%;29;39,73%;4,87%;30;40,54%;4,05%;39;49,37%;-5%;36;42,35%;2,24%;18;21,18%;23,42%;;;#VALUE!;;;;;;;;;;;;;;;;;
boohoo;13;17,57%;14;19,18%;-1,61%;13;17,57%;0,00%;0;0,00%;18%;0;0,00%;17,57%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Bosideng;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Bottega Veneta;7;9,46%;8;10,96%;-1,50%;8;10,81%;-1,35%;10;12,66%;-3%;1;1,18%;8,28%;1;1,18%;8,28%;1;1,18%;8,28%;;;;;;;;;;;;;;;;;
