Brand Name;2023 Final scores - SECTION 4;2023 FINAL PERCENTAGES -  SECTION 4;2022 Final scores - SECTION 4;2022 FINAL PERCENTAGES -  SECTION 4;% change in score 2022-2023;2021 Final scores - SECTION 4;2021 FINAL PERCENTAGES -  SECTION 4;% change in score 2021-2023;2020 Final scores - SECTION 4;2020 FINAL PERCENTAGES -  SECTION 4;% change in score 2020-2023;2019 Final scores - SECTION 4;2019 FINAL PERCENTAGES -  SECTION 4;% change in score 2019-2023;2018 Final scores - SECTION 4;2018 FINAL PERCENTAGES -  SECTION 4;% change in score 2018-2023;2017 Final scores  - SECTION 4;2017 FINAL PERCENTAGES - SECTION 4;% change in score 2017-2023;;;;;;;;;;;;;;;;;
Abercrombie & Fitch;9;21,43%;8;16,00%;5,43%;10;21,28%;0,15%;15;23,81%;-2%;20;28,57%;-7,14%;16;21,62%;-0,19%;13;17,33%;4,10%;;;;;;;;;;;;;;;;;
Adidas;21;50,00%;22;44,00%;6,00%;23;48,94%;1,06%;37;58,73%;-9%;41;58,57%;-8,57%;33;44,59%;5,41%;29;38,67%;11,33%;;;;;;;;;;;;;;;;;
Aeropostale;2;4,76%;2;4,00%;0,76%;3;6,38%;-1,62%;3;4,76%;0%;4;5,71%;-0,95%;6;8,11%;-3,35%;10;13,33%;-8,57%;;;;;;;;;;;;;;;;;
AJIO;5;11,90%;2;4,00%;7,90%;3;6,38%;5,52%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
ALDI Nord;16;38,10%;15;30,00%;8,10%;12;25,53%;12,56%;14;22,22%;16%;13;18,57%;19,52%;;;38,10%;;;38,10%;;;;;;;;;;;;;;;;;
ALDI SOUTH;17;40,48%;18;36,00%;4,48%;14;29,79%;10,69%;13;20,63%;20%;4;5,71%;34,76%;;;40,48%;;;40,48%;;;;;;;;;;;;;;;;;
ALDO;12;28,57%;11;22,00%;6,57%;10;21,28%;7,29%;10;15,87%;13%;7;10,00%;18,57%;;;28,57%;;;28,57%;;;;;;;;;;;;;;;;;
Amazon;9;21,43%;11;22,00%;-0,57%;10;21,28%;0,15%;9;14,29%;7%;5;7,14%;14,29%;9;12,16%;9,27%;6;8,00%;13,43%;;;;;;;;;;;;;;;;;
American Eagle;4;9,52%;4;8,00%;1,52%;4;8,51%;1,01%;7;11,11%;-2%;6;8,57%;0,95%;13;17,57%;-8,04%;9;12,00%;-2,48%;;;;;;;;;;;;;;;;;
ANTA;0;0,00%;3;6,00%;-6,00%;4;8,51%;-8,51%;4;6,35%;-6%;3;4,29%;-4,29%;0;0,00%;0,00%;;;0,00%;;;;;;;;;;;;;;;;;
Anthropologie;5;11,90%;4;8,00%;3,90%;7;14,89%;-2,99%;5;7,94%;4%;1;1,43%;10,48%;5;6,76%;5,15%;5;6,67%;5,24%;;;;;;;;;;;;;;;;;
Aritzia;13;30,95%;11;22,00%;8,95%;11;23,40%;7,55%;4;6,35%;25%;;;#VALUE!;;;#VALUE!;;;30,95%;;;;;;;;;;;;;;;;;
Armani;13;30,95%;12;24,00%;6,95%;4;8,51%;22,44%;2;3,17%;28%;1;1,43%;29,52%;3;4,05%;26,90%;2;2,67%;28,29%;;;;;;;;;;;;;;;;;
Asda;4;9,52%;4;8,00%;1,52%;16;34,04%;-24,52%;16;25,40%;-16%;24;34,29%;-24,76%;22;29,73%;-20,21%;18;24,00%;-14,48%;;;;;;;;;;;;;;;;;
ASICS;16;38,10%;20;40,00%;-1,90%;20;42,55%;-4,46%;17;26,98%;11%;12;17,14%;20,95%;9;12,16%;25,93%;12;16,00%;22,10%;;;;;;;;;;;;;;;;;
ASOS;24;57,14%;23;46,00%;11,14%;19;40,43%;16,72%;23;36,51%;21%;30;42,86%;14,29%;15;20,27%;36,87%;11;14,67%;42,48%;;;;;;;;;;;;;;;;;
Balenciaga;25;59,52%;23;46,00%;13,52%;21;44,68%;14,84%;27;42,86%;17%;;;#VALUE!;;;59,52%;;;59,52%;;;;;;;;;;;;;;;;;
Bally;5;11,90%;4;8,00%;3,90%;3;6,38%;5,52%;0;0,00%;12%;;;#VALUE!;;;11,90%;;;11,90%;;;;;;;;;;;;;;;;;
