Brand Name;2023 Final scores - SECTION 1;2023 FINAL PERCENTAGES -  SECTION 1;2022 Final scores - SECTION 1;2022 FINAL PERCENTAGES -  SECTION 1;% change in score 2022-2023;2021 Final scores - SECTION 1;2021 FINAL PERCENTAGES -  SECTION 1;% change in score 2021-2023;2020 Final scores - SECTION 1;2020 FINAL PERCENTAGES -  SECTION 1;% change in score 2020-2023;2019 Final scores - SECTION 1;2019 FINAL PERCENTAGES -  SECTION 1;% change in score 2019-2023;2018 Final scores - SECTION 1;2018 FINAL PERCENTAGES -  SECTION 1;% change in score 2018-2023;2017 Final scores  - SECTION 1;2017 FINAL PERCENTAGES - SECTION 1;% change in score 2017-2023;;;;;;;;;;;;;;;;;
Abercrombie & Fitch;21,25;64,39%;19,75;59,85%;4,55%;18,75;56,82%;7,58%;30;63,83%;0,56%;21;42,86%;21,54%;14;29,17%;35,23%;6;12,00%;52,39%;;;;;;;;;;;;;;;;;
Adidas;31;93,94%;29;87,88%;6,06%;30;90,91%;3,03%;46,5;98,94%;-5,00%;48,5;98,98%;-5,04%;46,5;96,88%;-2,94%;39;78,00%;15,94%;;;;;;;;;;;;;;;;;
Aeropostale;5,5;16,67%;4,5;13,64%;3,03%;5,5;16,67%;0,00%;7;14,89%;1,77%;6,5;13,27%;3,40%;7,5;15,63%;1,04%;7,5;15,00%;1,67%;;;;;;;;;;;;;;;;;
AJIO;11;33,33%;10,5;31,82%;1,52%;11,25;34,09%;-0,76%;;;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
ALDI Nord;26;78,79%;25,5;77,27%;1,52%;21;63,64%;15,15%;28;59,57%;19,21%;23,5;47,96%;30,83%;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
ALDI SOUTH;27;81,82%;24;72,73%;9,09%;24;72,73%;9,09%;32;68,09%;13,73%;24,5;50,00%;31,82%;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
ALDO;16,75;50,76%;14;42,42%;8,33%;14,5;43,94%;6,82%;25,5;54,26%;-3,50%;25,5;52,04%;-1,28%;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Amazon;25,25;76,52%;28,25;85,61%;-9,09%;23,25;70,45%;6,06%;31,5;67,02%;9,49%;25;51,02%;25,49%;17;35,42%;41,10%;16,5;33,00%;43,52%;;;;;;;;;;;;;;;;;
American Eagle;19,5;59,09%;18,75;56,82%;2,27%;18,75;56,82%;2,27%;25;53,19%;5,90%;21,5;43,88%;15,21%;17,5;36,46%;22,63%;10,5;21,00%;38,09%;;;;;;;;;;;;;;;;;
ANTA;0,25;0,76%;6,25;18,94%;-18,18%;7,5;22,73%;-21,97%;12;25,53%;-24,77%;15;30,61%;-29,85%;3;6,25%;-5,49%;;;#VALUE!;;;;;;;;;;;;;;;;;
Anthropologie;12,5;37,88%;10,75;32,58%;5,30%;13,25;40,15%;-2,27%;16,5;35,11%;2,77%;12,5;25,51%;12,37%;9,5;19,79%;18,09%;11,5;23,00%;14,88%;;;;;;;;;;;;;;;;;
Aritzia;20,25;61,36%;20,5;62,12%;-0,76%;19,75;59,85%;1,52%;24,5;52,13%;9,24%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Armani;27,75;84,09%;21,5;65,15%;18,94%;21,75;65,91%;18,18%;17;36,17%;47,92%;15;30,61%;53,48%;15,5;32,29%;51,80%;16,5;33,00%;51,09%;;;;;;;;;;;;;;;;;
Asda;18,75;56,82%;16,5;50,00%;6,82%;23,5;71,21%;-14,39%;36,5;77,66%;-20,84%;38;77,55%;-20,73%;32;66,67%;-9,85%;25,5;51,00%;5,82%;;;;;;;;;;;;;;;;;
ASICS;26,25;79,55%;25,25;76,52%;3,03%;26,25;79,55%;0,00%;40,5;86,17%;-6,62%;34;69,39%;10,16%;30;62,50%;17,05%;32;64,00%;15,55%;;;;;;;;;;;;;;;;;
ASOS;30;90,91%;26,5;80,30%;10,61%;27,25;82,58%;8,33%;37;78,72%;12,19%;43;87,76%;3,15%;33,5;69,79%;21,12%;32,5;65,00%;25,91%;;;;;;;;;;;;;;;;;
Balenciaga;32,25;97,73%;30,5;92,42%;5,30%;28;84,85%;12,88%;46;97,87%;-0,15%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Bally;19,75;59,85%;18,25;55,30%;4,55%;14;42,42%;17,42%;0;0,00%;59,85%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Banana Republic;30,25;91,67%;28,5;86,36%;5,30%;30;90,91%;0,76%;43;91,49%;0,18%;44,5;90,82%;0,85%;41,5;86,46%;5,21%;43;86,00%;5,67%;;;;;;;;;;;;;;;;;
BCBGMAXAZRIA;1,25;3,79%;1,25;3,79%;0,00%;1,75;5,30%;-1,52%;6;12,77%;-8,98%;3,5;7,14%;-3,35%;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
